Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Shield","SMA_Molex_73251-2200_Horizontal",134.974750,-78.775250,-90.000000,bottom
"AE2","Antenna_Shield","UFL_COAX_CONN23370191",167.424750,-75.500250,180.000000,bottom
"C19","0.1u","C_0402_1005Metric",136.694750,-90.625250,0.000000,bottom
"C20","1u","C_0402_1005Metric",163.124750,-75.325250,90.000000,bottom
"C21","22p","C_0402_1005Metric",155.764750,-75.365250,90.000000,bottom
"C22","22p","C_0402_1005Metric",160.794750,-75.385250,90.000000,bottom
"C24","0.1u","C_0402_1005Metric",128.174750,-99.625250,-90.000000,bottom
"C25","1u","C_0402_1005Metric",129.274750,-99.625250,-90.000000,bottom
"C26","0.1u","C_0402_1005Metric",131.174750,-103.460250,0.000000,bottom
"C27","1u","C_0402_1005Metric",131.174750,-104.625250,0.000000,bottom
"C28","0.1u","C_0402_1005Metric",142.424750,-98.805250,90.000000,bottom
"C30","100n","C_0402_1005Metric",156.524750,-107.475250,180.000000,bottom
"C31","10u","C_0402_1005Metric",156.554750,-108.575250,180.000000,bottom
"C34","1u","C_0402_1005Metric",143.474750,-98.805250,90.000000,bottom
"C35","100n","C_0402_1005Metric",139.824750,-89.625250,90.000000,bottom
"C40","C_Small","C_0402_1005Metric",166.944750,-82.225250,0.000000,bottom
"C41","C_Small","C_0402_1005Metric",166.944750,-79.375250,0.000000,bottom
"D1","MMSZ5232B-E3-08","D_SOD-123",127.982250,-93.205250,-90.000000,bottom
"D6","LXES15AAA1-153","D_0402_1005Metric",166.924750,-78.375250,0.000000,bottom
"D7","SP0504BAHT","SOT-23-5",137.414750,-94.465250,-90.000000,bottom
"D10","ESDONCAN1LT1G","SOT-23",163.924750,-106.162750,-90.000000,bottom
"FL1","SAFEB1G57KE0F00R15","Filter_1411-5_1.4x1.1mm",142.374750,-75.637750,0.000000,bottom
"J4","Micro_SD_Card","MOLEX_503398-1892",141.149750,-107.800250,0.000000,bottom
"L3","82nH","L_0402_1005Metric",139.824750,-77.510250,-90.000000,bottom
"Q1","SSM3J328R-HXY","SOT-23",131.324750,-92.625250,0.000000,bottom
"Q2","BSN20","SOT-23",136.824750,-88.075250,0.000000,bottom
"R1","1K","R_0402_1005Metric",130.182250,-95.005250,0.000000,bottom
"R4","100K","R_0402_1005Metric",158.314750,-112.175250,90.000000,bottom
"R6","100K","R_0402_1005Metric",152.014750,-112.675250,-90.000000,bottom
"R9","1k","R_0402_1005Metric",133.877250,-89.315250,0.000000,bottom
"R10","10K","R_0402_1005Metric",133.824750,-87.925250,0.000000,bottom
"R11","10K","R_0402_1005Metric",148.874750,-98.725250,-90.000000,bottom
"R12","1k","R_0402_1005Metric",147.774750,-98.725250,90.000000,bottom
"R15","2.2K","R_0402_1005Metric",160.400000,-98.275250,0.000000,bottom
"R16","2.2K","R_0402_1005Metric",160.400000,-99.375250,0.000000,bottom
"R18","22R","R_0402_1005Metric",159.594750,-75.355250,90.000000,bottom
"R19","22R","R_0402_1005Metric",156.864750,-75.335250,90.000000,bottom
"R27","220R","R_0402_1005Metric",163.874750,-103.525250,180.000000,bottom
"R28","22R","R_0402_1005Metric",139.824750,-74.985250,90.000000,bottom
"R37","10k","R_0402_1005Metric",146.724750,-98.735250,-90.000000,bottom
"R38","10k","R_0402_1005Metric",145.624750,-98.775250,-90.000000,bottom
"R39","10k","R_0402_1005Metric",144.524750,-98.775250,-90.000000,bottom
"R40","10k","R_0402_1005Metric",140.024750,-98.825250,-90.000000,bottom
"R41","10k","R_0402_1005Metric",138.924750,-98.825250,-90.000000,bottom
"R42","10k","R_0402_1005Metric",141.074750,-98.825250,-90.000000,bottom
"R51","0R","R_0402_1005Metric",167.424750,-80.785250,90.000000,bottom
"TH1","Thermistor_PTC","Fuse_1206_3216Metric",128.374750,-89.625250,0.000000,bottom
"U3","A9G_MODULE","A9G_MODULE",161.074750,-94.175250,90.000000,bottom
"U5","XC6206PxxxMR","SOT-23-3",131.574750,-100.825250,90.000000,bottom
