Ref,Val,Package,PosX,PosY,Rot,Side
"C1","8.2p","C_0402_1005Metric",149.214750,-79.285250,180.000000,top
"C2","10n","C_0603_1608Metric",142.714750,-87.585250,90.000000,top
"C3","33p","C_0603_1608Metric",138.784750,-87.125250,180.000000,top
"C4","1u","C_0402_1005Metric",145.294750,-95.825250,180.000000,top
"C5","22u","C_0603_1608Metric",141.114750,-86.425250,90.000000,top
"C6","10u","C_0603_1608Metric",142.500000,-82.460250,-90.000000,top
"C7","22p","C_0402_1005Metric",153.604750,-103.255250,135.000000,top
"C8","22p","C_0402_1005Metric",157.874750,-103.725250,45.000000,top
"C9","22p","C_0402_1005Metric",150.694750,-99.025250,180.000000,top
"C10","22p","C_0402_1005Metric",150.274750,-104.125250,0.000000,top
"C11","10u","C_0402_1005Metric",148.424750,-95.750250,0.000000,top
"C12","100n","C_0402_1005Metric",151.504750,-88.425250,180.000000,top
"C13","100n","C_0402_1005Metric",160.474750,-88.745250,90.000000,top
"C14","100n","C_0402_1005Metric",157.474750,-99.035250,-90.000000,top
"C15","100n","C_0402_1005Metric",151.474750,-98.025250,180.000000,top
"C16","10u","C_0603_1608Metric",140.900000,-82.485250,-90.000000,top
"C17","100n","C_0402_1005Metric",159.814750,-100.485250,90.000000,top
"C18","10u","C_0402_1005Metric",145.924750,-94.055250,90.000000,top
"C23","22p","C_0402_1005Metric",160.794750,-76.065250,180.000000,top
"C29","100n","C_0402_1005Metric",159.694750,-108.825250,0.000000,top
"C32","100n","C_0402_1005Metric",138.499750,-112.900250,-90.000000,top
"C33","100n","C_0402_1005Metric",135.604750,-105.875250,0.000000,top
"C36","100u","CP_EIA-3216-18_Kemet-A",147.804750,-99.945250,-90.000000,top
"C37","100n","C_0402_1005Metric",131.984750,-112.825250,90.000000,top
"C38","100n","C_0402_1005Metric",144.200000,-82.600000,-90.000000,top
"C39","100u","CP_EIA-3216-18_Kemet-A",145.634750,-99.945250,-90.000000,top
"D2","RS1K-E3/5AT","D_SMA",129.224750,-103.425250,180.000000,top
"D3","RS1K-E3/5AT","D_SMA",136.374750,-103.425250,180.000000,top
"D4","RS1K-E3/5AT","D_SMA",142.674750,-99.875250,-90.000000,top
"D5","LED","LED_0402_1005Metric",144.174750,-75.625250,-90.000000,top
"D8","ORANGE","LED_0402_1005Metric",152.174750,-75.610250,-90.000000,top
"D9","BLUE","LED_0402_1005Metric",146.924750,-75.675368,90.000000,top
"D11","BEP0080MA","D_SOD-123",159.674750,-106.575250,0.000000,top
"D12","BEP0080MA","D_SOD-123",166.974750,-112.675250,180.000000,top
"J3","nano_sim","nano_sim_NSIM-2-C",140.024750,-91.075250,-90.000000,top
"J5","Conn_02x06_Counter_Clockwise","auto_jae_conn_02x06_p2.5mm_MX23A12NF1",182.424750,-94.775250,90.000000,top
"L1","2.2u","MDA5030-100M",146.314750,-85.685250,-90.000000,top
"L2","L_Ferrite","L_0402_1005Metric",150.387250,-96.825250,0.000000,top
"L5","L_Ferrite","L_0402_1005Metric",161.274750,-109.785250,90.000000,top
"L6","L_Ferrite","L_0402_1005Metric",163.024750,-112.275250,-90.000000,top
"Q3","BSN20","SOT-23",152.674750,-84.005250,-90.000000,top
"R2","180K","R_0402_1005Metric",149.214750,-80.385250,180.000000,top
"R3","40K","R_0603_1608Metric",150.214750,-82.510250,-90.000000,top
"R5","1M","R_0402_1005Metric",155.494750,-98.935250,0.000000,top
"R7","499R","R_0402_1005Metric",145.274750,-75.615250,-90.000000,top
"R8","10K","R_0402_1005Metric",159.824750,-102.435250,90.000000,top
"R13","1k","R_0402_1005Metric",154.984750,-81.425250,90.000000,top
"R14","10K","R_0402_1005Metric",153.424750,-81.455250,0.000000,top
"R17","22R","R_0402_1005Metric",160.774750,-75.025250,180.000000,top
"R20","200K","R_0402_1005Metric",143.724750,-94.025250,-90.000000,top
"R21","100K","R_0402_1005Metric",142.574750,-94.025250,90.000000,top
"R22","390R","R_0402_1005Metric",151.074750,-75.635250,-90.000000,top
"R23","100K","R_0402_1005Metric",150.674750,-109.455250,90.000000,top
"R24","100K","R_0402_1005Metric",150.714750,-113.045250,90.000000,top
"R25","10R","R_0402_1005Metric",159.744750,-110.355250,0.000000,top
"R26","10R","R_0402_1005Metric",159.714750,-111.455250,0.000000,top
"R29","390R","R_0402_1005Metric",148.074750,-75.625250,90.000000,top
"R46","60R","R_0402_1005Metric",131.874750,-107.425250,90.000000,top
"R47","60R","R_0402_1005Metric",132.074750,-110.825250,-90.000000,top
"U1","SY8089AAAC","SOT-23-5",147.214750,-82.685250,0.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",155.774750,-92.875250,90.000000,top
"U4","MAX485E","SOP-8_3.9x4.9mm_P1.27mm",154.999750,-110.610250,0.000000,top
"U7","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",135.249750,-110.135250,-90.000000,top
"U8","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",145.859750,-109.275250,90.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",155.695892,-102.198473,135.000000,top
"Y2","32.678KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",150.474750,-101.525250,-90.000000,top
