Ref,Val,Package,PosX,PosY,Rot,Side
"C1","8.2p","C_0402_1005Metric",247.140000,-71.460000,180.000000,top
"C2","10n","C_0603_1608Metric",240.640000,-79.760000,90.000000,top
"C3","33p","C_0603_1608Metric",236.710000,-79.300000,180.000000,top
"C4","1u","C_0402_1005Metric",241.600000,-87.850000,180.000000,top
"C5","22u","C_0603_1608Metric",239.040000,-78.600000,90.000000,top
"C6","10u","C_0603_1608Metric",240.940000,-74.635000,-90.000000,top
"C7","22p","C_0402_1005Metric",251.530000,-95.430000,135.000000,top
"C8","22p","C_0402_1005Metric",255.800000,-95.900000,45.000000,top
"C9","22p","C_0402_1005Metric",248.620000,-91.200000,180.000000,top
"C10","22p","C_0402_1005Metric",248.200000,-96.300000,0.000000,top
"C11","10u","C_0402_1005Metric",245.500000,-87.900000,0.000000,top
"C12","100n","C_0402_1005Metric",249.430000,-80.600000,180.000000,top
"C13","100n","C_0402_1005Metric",258.800000,-81.250000,0.000000,top
"C14","100n","C_0402_1005Metric",255.400000,-91.210000,-90.000000,top
"C15","100n","C_0402_1005Metric",249.400000,-90.200000,180.000000,top
"C16","10u","C_0603_1608Metric",239.340000,-74.660000,-90.000000,top
"C17","100n","C_0402_1005Metric",257.740000,-92.660000,90.000000,top
"C18","10u","C_0402_1005Metric",242.750000,-86.230000,90.000000,top
"C23","22p","C_0402_1005Metric",258.720000,-68.240000,180.000000,top
"C29","100n","C_0402_1005Metric",257.620000,-101.000000,0.000000,top
"C32","100n","C_0402_1005Metric",236.425000,-105.075000,-90.000000,top
"C33","100n","C_0402_1005Metric",233.530000,-98.050000,0.000000,top
"C36","100u","CP_EIA-3216-18_Kemet-A",245.730000,-92.120000,-90.000000,top
"C37","100n","C_0402_1005Metric",229.910000,-105.000000,90.000000,top
"C38","100n","C_0603_1608Metric",237.740000,-74.635000,-90.000000,top
"C39","100u","CP_EIA-3216-18_Kemet-A",243.560000,-92.120000,-90.000000,top
"D2","RS1K-E3/5AT","D_SMA",227.150000,-95.600000,180.000000,top
"D3","RS1K-E3/5AT","D_SMA",234.300000,-95.600000,180.000000,top
"D4","RS1K-E3/5AT","D_SMA",240.600000,-92.050000,-90.000000,top
"D5","LED","LED_0402_1005Metric",242.100000,-67.800000,-90.000000,top
"D8","ORANGE","LED_0402_1005Metric",250.100000,-67.785000,-90.000000,top
"D9","BLUE","LED_0402_1005Metric",244.850000,-67.850118,90.000000,top
"D11","BEP0080MA","D_SOD-123",256.250000,-98.800000,0.000000,top
"D12","BEP0080MA","D_SOD-123",260.490000,-105.500000,0.000000,top
"J3","nano_sim","nano_sim_NSIM-2-C",237.950000,-83.250000,-90.000000,top
"J5","Conn_02x06_Counter_Clockwise","auto_jae_conn_02x06_p2.5mm_MX23A12NF1",280.350000,-86.950000,90.000000,top
"L1","2.2u","MDA5030-100M",244.240000,-77.860000,-90.000000,top
"L2","L_Ferrite","L_0603_1608Metric",248.312500,-89.000000,0.000000,top
"Q3","BSN20","SOT-23",250.600000,-76.180000,-90.000000,top
"R2","180K","R_0402_1005Metric",247.140000,-72.560000,180.000000,top
"R3","40K","R_0603_1608Metric",248.140000,-74.685000,-90.000000,top
"R5","1M","R_0402_1005Metric",253.420000,-91.110000,0.000000,top
"R7","499R","R_0402_1005Metric",243.200000,-67.790000,-90.000000,top
"R8","10K","R_0402_1005Metric",257.750000,-94.610000,90.000000,top
"R13","1k","R_0402_1005Metric",252.910000,-73.600000,90.000000,top
"R14","10K","R_0402_1005Metric",251.350000,-73.630000,0.000000,top
"R17","22R","R_0402_1005Metric",258.700000,-67.200000,180.000000,top
"R20","200K","R_0402_1005Metric",241.650000,-86.200000,-90.000000,top
"R21","100K","R_0402_1005Metric",240.500000,-86.200000,90.000000,top
"R22","390R","R_0402_1005Metric",249.000000,-67.810000,-90.000000,top
"R23","100K","R_0402_1005Metric",248.600000,-101.630000,90.000000,top
"R24","100K","R_0402_1005Metric",248.640000,-105.220000,90.000000,top
"R25","10R","R_0402_1005Metric",257.670000,-102.530000,0.000000,top
"R26","10R","R_0402_1005Metric",257.640000,-103.630000,0.000000,top
"R28","0R","R_0402_1005Metric",259.200000,-99.400000,90.000000,top
"R29","390R","R_0402_1005Metric",246.000000,-67.800000,90.000000,top
"R32","0R","R_0402_1005Metric",263.860000,-105.340000,180.000000,top
"R46","60R","R_0402_1005Metric",229.800000,-99.600000,90.000000,top
"R47","60R","R_0402_1005Metric",230.000000,-103.000000,-90.000000,top
"U1","SY8089AAAC","SOT-23-5",245.140000,-74.860000,0.000000,top
"U2","STM32F103C8Tx","LQFP-48_7x7mm_P0.5mm",253.700000,-85.050000,90.000000,top
"U4","MAX485E","SOP-8_3.9x4.9mm_P1.27mm",252.925000,-102.785000,0.000000,top
"U7","ATA6561-GAQW-N","SOIC-8_3.9x4.9mm_P1.27mm",233.175000,-102.310000,-90.000000,top
"U8","W25Q32JVSS","SOIC-8_5.23x5.23mm_P1.27mm",243.785000,-101.450000,90.000000,top
"Y1","8MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",253.621142,-94.373223,135.000000,top
"Y2","32.678KHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",248.400000,-93.700000,-90.000000,top
